step,elapsed_time,loss
0,0.29479901699960465,9.401937484741211
1,0.4992644049998489,9.289941787719727
2,0.6982684460017481,9.001890182495117
3,0.8991158939970774,9.124776840209961
4,1.0994156160013517,8.890840530395508
5,1.3004229969956214,8.9205904006958
6,1.501197476995003,8.675525665283203
7,1.7006406289947336,8.857988357543945
8,1.9002260060005938,8.66437816619873
9,2.104225328999746,8.766002655029297
10,2.3020882009950583,8.701225280761719
11,2.5022691560006933,8.514252662658691
12,2.702127243996074,8.230692863464355
13,2.909279465995496,8.061424255371094
14,3.103856083995197,7.95065975189209
15,3.3042688269997598,8.367270469665527
16,3.5018038709968096,8.555181503295898
17,3.7034498840002925,8.482818603515625
18,3.9107570069973008,8.359395027160645
19,4.105585109995445,8.111688613891602
20,4.300134229997639,8.219367027282715
21,4.501650106998568,8.330096244812012
22,4.702003603000776,8.141491889953613
23,4.900030484997842,8.108972549438477
24,5.102962320997904,8.08108901977539
25,5.302633335995779,8.019499778747559
26,5.500334069001838,8.063385009765625
27,5.709576991001086,8.098502159118652
28,5.904253724998853,8.099167823791504
29,6.0992476679966785,7.590671539306641
30,6.2985092509989045,7.905753135681152
31,6.49801922399638,7.977217197418213
32,6.701216271998419,7.830662250518799
33,6.900013022997882,7.915931701660156
34,7.099678867001785,7.832960605621338
35,7.299023355000827,7.779301643371582
36,7.500560022999707,7.965408802032471
37,7.70080324299488,7.710034370422363
38,7.903009485999064,7.758989334106445
39,8.10046653799509,7.644524574279785
40,8.302842766999674,7.616780757904053
41,8.512044873001287,7.528692245483398
42,8.706775868995464,7.386650085449219
43,8.901330225999118,7.543426990509033
44,9.100416535999102,7.624956130981445
45,9.30475306599692,7.914331436157227
46,9.502130636996299,8.236654281616211
47,9.703920506995928,7.8851823806762695
48,9.904301235997991,7.795536994934082
49,10.104593185998965,7.6348676681518555
50,10.308877220995782,7.463832855224609
51,10.50361882099969,6.913166046142578
52,10.708477585001674,6.829047203063965
53,10.903153225997812,6.761538505554199
54,11.100634226000693,6.973602294921875
55,11.30164384499949,8.123786926269531
56,11.501592212000105,7.7833452224731445
57,11.70208258099592,7.865027904510498
58,11.903401997995388,7.91863489151001
59,12.104456941997341,7.9331254959106445
60,12.306785939996189,7.762628555297852
61,12.502767209000012,7.3261823654174805
62,12.708347415995377,7.555671691894531
63,12.908254800000577,7.59140682220459
64,13.111009415995795,7.691767692565918
65,13.30674572999851,7.585209846496582
66,13.511882359998708,7.811470985412598
67,13.707364299996698,7.7771477699279785
68,13.908489103996544,7.761533737182617
69,14.10801222200098,7.434185028076172
70,14.307904618995963,7.748797416687012
71,14.508581768001022,7.387936115264893
72,14.709259823997854,7.6518754959106445
73,14.912235095995129,7.686646938323975
74,15.115238423997653,7.68766450881958
75,15.309918407001533,7.163393020629883
76,15.510449297995365,7.1554975509643555
77,15.711182696999458,7.593085289001465
78,15.911211013000866,7.878622055053711
79,16.11299298999802,7.831992149353027
80,16.317123562999768,7.735564231872559
81,16.515991920001397,7.947691440582275
82,16.715301839998574,7.729689121246338
83,16.917666857996664,7.480175971984863
84,17.115135200001532,7.615904331207275
85,17.31603970699507,7.387693405151367
86,17.516159726001206,7.666377067565918
87,17.71604670999659,7.4913330078125
88,17.91799077000178,7.768800258636475
89,18.117949045001296,7.646679401397705
90,18.317828002996976,7.509493827819824
91,18.520650881997426,7.521038055419922
92,18.717343575997802,7.29611349105835
93,18.917175144000794,7.5277910232543945
94,19.12496070299676,7.96607780456543
95,19.31987576300162,8.226961135864258
96,19.5154432049967,8.226737022399902
97,19.715471669995168,7.5524373054504395
98,19.918748960000812,7.402091979980469
99,20.116384476001258,7.659740447998047
100,20.317519863994676,7.332097053527832
101,20.520596605994797,7.599356174468994
102,20.716407717998663,7.746740341186523
103,20.917426482999872,7.3732428550720215
104,21.119241864995274,7.57756233215332
105,21.31759973699809,7.396244049072266
106,21.518573358996946,7.508584022521973
107,21.719018089999736,7.713243007659912
108,21.921931876997405,7.761670112609863
109,22.123651780995715,7.4279279708862305
110,22.319360197994683,7.526711463928223
111,22.521138839998457,7.421055793762207
112,22.72123316500074,7.511490821838379
113,22.92249479599559,7.517605304718018
114,23.12689152499661,7.321663856506348
115,23.3252280279994,7.335294723510742
116,23.524846547996276,7.308276176452637
117,23.72599763299513,7.2645392417907715
118,23.92528770199715,7.2855377197265625
119,24.126264646998607,7.74099063873291
120,24.328215454996098,7.542537689208984
121,24.525884827999107,7.338657379150391
122,24.725935153001046,7.7185258865356445
123,24.92821680600173,7.321995735168457
124,25.132619172996783,7.18551778793335
125,25.327388213998347,6.711503982543945
126,25.529586748001748,7.344043731689453
127,25.72915366599773,7.376175880432129
128,25.930254827995668,7.505346298217773
129,26.130306236998877,7.531902313232422
130,26.332328439995763,7.232739448547363
131,26.532373828995333,7.281374931335449
132,26.73270577099902,7.2222981452941895
133,26.938840162001725,7.404016494750977
134,27.133401505998336,7.145751476287842
135,27.335897377000947,7.194304943084717
136,27.533694207995723,7.219294548034668
137,27.743713074996776,7.100376605987549
138,27.93898927600094,6.882411003112793
139,28.133653792996483,6.992781639099121
140,28.334120394996717,7.218475341796875
141,28.533771839996916,7.223351001739502
142,28.733432225999422,8.063297271728516
143,28.934329931995308,8.010401725769043
144,29.13505843099847,7.355574131011963
145,29.335915607996867,7.456628799438477
146,29.536984753998695,7.459059715270996
147,29.739135559000715,7.380423545837402
148,29.939452277998498,7.448907375335693
149,30.144750981999096,7.346133232116699
150,30.34036060499784,7.420461177825928
151,30.54123569100193,7.0618181228637695
152,30.741208205996372,7.581580638885498
153,30.941858453996247,7.147913455963135
154,31.14302289099578,7.399144172668457
155,31.34709028499492,7.170243263244629
156,31.541708495999046,6.955761432647705
157,31.74253667499579,7.08794641494751
158,31.944432673997653,7.059834003448486
159,32.14576799800125,7.320995330810547
160,32.346241405997716,7.243168354034424
161,32.54965100700065,7.486884117126465
162,32.745140888000606,7.463987827301025
163,32.944606366996595,7.494993209838867
164,33.14485082899773,7.203767776489258
165,33.34910147699702,7.2649431228637695
166,33.54516722400149,7.266531944274902
167,33.74534279899672,7.242569923400879
168,33.94687701299699,7.6571221351623535
169,34.14582373799931,7.430782794952393
170,34.34618495799805,7.457982063293457
171,34.55409693600086,7.660046577453613
172,34.7485531919956,7.669220924377441
173,34.94654993600125,7.284152984619141
174,35.1474812009983,7.2464752197265625
175,35.34686581399728,7.276334762573242
176,35.54787903599936,7.14586067199707
177,35.747882259995095,6.983271598815918
178,35.974589011995704,7.118799686431885
179,36.17099684599816,6.783536911010742
180,36.37245303700183,7.166297435760498
181,36.57373995099624,7.324389457702637
182,36.776013994000095,7.444760322570801
183,36.973523627995746,7.378753185272217
184,37.17427615699853,7.069652557373047
185,37.37476298199908,6.820542335510254
186,37.57471261599858,7.575300693511963
187,37.77578228800121,7.475544452667236
188,37.97683419499663,7.215269088745117
189,38.17767513299623,7.5055389404296875
190,38.37614825699711,7.5457763671875
191,38.582511497996165,7.235834121704102
192,38.77706652000052,7.157975673675537
193,38.97512451699731,7.109938621520996
194,39.18947581599787,7.056204795837402
195,39.39224536799884,7.196244239807129
196,39.60240530499868,7.202550888061523
197,39.79717857299693,6.770206451416016
198,39.991608311000164,6.7520856857299805
199,40.191892639995785,6.900946617126465
200,40.39266981899709,7.071538925170898
201,40.593319706997136,7.207625865936279
202,40.79272119399684,7.111583232879639
203,40.99693982199824,6.989263534545898
204,41.19291667499783,6.873104095458984
205,41.39375966299849,7.123293876647949
206,41.592896520996874,7.446591854095459
207,41.792996402000426,7.0796356201171875
208,41.99358677699638,7.194699287414551
209,42.194479721998505,7.224549293518066
210,42.3948254739953,7.121541976928711
211,42.60988714899577,6.947454452514648
212,42.8112443209975,6.96475887298584
213,43.01324666599976,7.169532775878906
214,43.212744491997,6.874452590942383
215,43.41611614100111,6.9854278564453125
216,43.6132372639986,7.20833683013916
217,43.815768873995694,6.896873474121094
218,44.01414264799678,6.818622589111328
219,44.21494518200052,7.042502403259277
220,44.41639621200011,7.04217004776001
221,44.616514167995774,7.116891860961914
222,44.816386323996994,6.780988693237305
223,45.01745097399544,6.947510719299316
224,45.218240078000235,7.1436591148376465
225,45.41941281099571,7.078656196594238
226,45.6194825739949,6.908752918243408
227,45.826164849000634,6.977672576904297
228,46.026165413000854,6.687982559204102
229,46.23235347299487,7.195240020751953
230,46.4272968219957,6.926331520080566
231,46.627149856998585,7.303481101989746
232,46.829233548996854,6.997696399688721
233,47.028824745997554,7.177718162536621
234,47.228241095996054,7.083852767944336
235,47.43022283699975,7.254716396331787
236,47.64417653599958,7.117844581604004
237,47.838961757996,7.029778003692627
238,48.03422238799976,6.893281936645508
239,48.22915159900003,6.795951843261719
240,48.429543089994695,6.917867183685303
241,48.63011868600006,6.974642753601074
242,48.83199729799526,6.9053754806518555
243,49.033992687000136,6.995426177978516
244,49.230687247996684,7.291321754455566
245,49.43204209199757,7.186712265014648
246,49.63231378799537,7.004425048828125
