step,elapsed_time,loss
0,0.2683244120000836,9.387409210205078
1,0.40188798300005146,9.248640060424805
2,0.530500284000027,9.02652359008789
3,0.6613261810000495,9.095970153808594
4,0.7914700310000171,8.852692604064941
5,0.9218698460000496,8.939966201782227
6,1.0525596500000347,8.669508934020996
7,1.18238286899998,8.842528343200684
8,1.3124019470000121,8.610054016113281
9,1.4460885590000316,8.688993453979492
10,1.5745460620000813,8.676607131958008
11,1.7048291529999915,8.540285110473633
12,1.8361411640000824,8.233078002929688
13,1.97483016700005,8.020947456359863
14,2.100037412000006,7.925053596496582
15,2.2315749809999943,8.319289207458496
16,2.3599051959999997,8.619499206542969
17,2.4931420820000767,8.515503883361816
18,2.6314881289999903,8.374427795410156
19,2.756634173000066,8.12336540222168
20,2.8819043729999976,8.20914363861084
21,3.0152050390000795,8.31181526184082
22,3.1475415440000916,8.130401611328125
23,3.2789824520000366,8.127609252929688
24,3.415484785999979,8.054636001586914
25,3.5473339779999833,8.030726432800293
26,3.6766673020000553,8.1132230758667
27,3.817115048000005,8.095552444458008
28,3.942360466000082,8.028152465820312
29,4.0681131869999945,7.5562639236450195
30,4.1981111100000135,7.872117519378662
31,4.3295869470000525,7.9237446784973145
32,4.4645319570000765,7.85854434967041
33,4.594398640999998,7.9442548751831055
34,4.725219329000083,7.834935188293457
35,4.856508354000084,7.805165767669678
36,4.988941058000023,8.004018783569336
37,5.120591899000033,7.744407653808594
38,5.254127256000061,7.814271926879883
39,5.382478804000016,7.646629333496094
40,5.517435922000004,7.617724895477295
41,5.657903367000017,7.558685302734375
42,5.783308405000071,7.42480993270874
43,5.908577448000074,7.581197261810303
44,6.038820489000045,7.67221736907959
45,6.17289203200005,7.957317352294922
46,6.300153579000039,8.284442901611328
47,6.432283722000079,7.933335304260254
48,6.564781295999978,7.822192668914795
49,6.69969176699999,7.642934799194336
50,6.838284017000092,7.455453395843506
51,6.964079814999991,6.925703048706055
52,7.101440711000009,6.866336822509766
53,7.227206666000029,6.8052978515625
54,7.355415359000062,6.981780052185059
55,7.487787980000007,8.102274894714355
56,7.619318149000037,7.768066883087158
57,7.7513300300000765,7.877875328063965
58,7.884550912000009,7.947192668914795
59,8.017057230000091,7.934893608093262
60,8.151193160000048,7.805434226989746
61,8.278149627000062,7.361250877380371
62,8.412140672000078,7.602693557739258
63,8.54232068600004,7.660717010498047
64,8.676174971000023,7.731616973876953
65,8.802550484999983,7.599125862121582
66,8.939562816000034,7.830305576324463
67,9.066574676000073,7.8180437088012695
68,9.199494415999993,7.771278381347656
69,9.330034061999982,7.485507965087891
70,9.46106713000006,7.80254602432251
71,9.59275372400009,7.449089050292969
72,9.725052988000016,7.675002098083496
73,9.86016156300002,7.732950210571289
74,9.997231818000046,7.703627109527588
75,10.123602720000008,7.20331335067749
76,10.257157373000041,7.184835910797119
